form,lemma
you,you
even,even
more,more
.,.
Let,let
your,you
mind,mind
and,and
body,body
be,be
totally,totally
at,at
peace,peace
.,.
Now,now
feel,feel
yourself,yourself
returning,return
to,to
where,where
you,you
sit,sit
...,...
move,move
your,you
hands,hand
and,and
feet,foot
a,a
little,little
",",","
stretch,stretch
them,they
.,.
Open,open
your,you
eyes,eye
.,.
2,2
.,.
Mountain,mountain
Visualization,visualization
Another,another
thing,thing
you,you
can,can
try,try
.,.
Imagine,imagine
you,you
're,be
sitting,sit
on,on
top,top
of,of
a,a
mountain,mountain
",",","
and,and
that,that
it,it
's,be
the,the
most,most
peaceful,peaceful
place,place
you,you
can,can
think,think
of,of
.,.
Feel,feel
that,that
you,you
're,be
sitting,sit
there,there
in,in
complete,complete
peace,peace
",",","
right,right
on,on
top,top
of,of
the,the
world,world
.,.
Now,now
imagine,imagine
that,that
infinite,infinite
happiness,happiness
is,be
surrounding,surround
you,you
in,in
every,every
direction,direction
.,.
Feel,feel
you,you
're,be
completely,completely
surrounded,surround
by,by
that,that
infinite,infinite
peace,peace
and,and
happiness,happiness
.,.
Now,now
start,start
to,to
repeat,repeat
within,within
your,you
mind,mind
the,the
mantra,mantra
:,:
BABA,baba
NAM,nam
KEVALAM,kevalam
.,.
Its,its
meaning,meaning
is,be
	,PUNCT
Infinite,infinite
happiness,happiness
is,be
everywhere,everywhere
	,PUNCT
.,.
Feel,feel
the,the
meaning,meaning
",",","
do,do
n't,not
just,just
think,think
of,of
its,its
wordy,wordy
meaning,meaning
or,or
try,try
to,to
translate,translate
from,from
Sanskrit,Sanskrit
(,(
BABA,baba
NAM,nam
KEVALAM,kevalam
),)
to,to
an,a
English,english
meaning,meaning
(,(
Infinite,infinite
peace,peace
and,and
happiness,happiness
),)
.,.
Think,think
internally,internally
",",","
intuitively,intuitively
",",","
not,not
by,by
words,word
",",","
of,of
the,the
meaning,meaning
",",","
as,as
you,you
're,be
repeating,repeat
it,it
.,.
This,this
is,be
called,call
ideation,ideation
.,.
It,it
is,be
important,important
to,to
take,take
the,the
idea,idea
",",","
not,not
just,just
the,the
intellectual,intellectual
analysis,analysis
.,.
Touching,touch
deep,deep
into,into
the,the
idea,idea
is,be
what,what
builds,build
intuition,intuition
-,-
it,it
is,be
a,a
synthetic,synthetic
process,process
.,.
Whereas,whereas
",",","
trying,try
to,to
translate,translate
and,and
grapple,grapple
with,with
wordy,wordy
meanings,meaning
is,be
an,a
intellectual,intellectual
mechanism,mechanism
-,-
an,a
analytical,analytical
process,process
.,.
Feel,feel
you,you
're,be
surrounded,surround
by,by
infinite,infinite
peace,peace
and,and
happiness,happiness
",",","
and,and
feel,feel
that,that
your,you
own,own
sense,sense
of,of
existence,existence
is,be
in,in
direct,direct
contact,contact
with,with
that,that
endless,endless
peace,peace
and,and
happiness,happiness
all,all
around,around
you,you
.,.
You,you
can,can
go,go
further,further
and,and
feel,feel
that,that
your,you
unit,unit
consciousness,consciousness
",",","
a,a
dot,dot
in,in
the,the
Infinite,infinite
Consciousness,consciousness
",",","
is,be
merging,merge
with,with
Infinity,infinity
.,.
Continue,continue
for,for
as,as
long,long
as,as
you,you
like,like
",",","
then,then
open,open
your,you
eyes,eye
.,.
OK,ok
that,that
is,be
fairly,fairly
basic,basic
:),:)
.,.
The,the
important,important
point,point
is,be
to,to
develop,develop
some,some
psycho-spiritual,psycho-spiritual
connection,connection
between,between
your,you
mind,mind
and,and
the,the
universal,universal
Consciousness,consciousness
or,or
Supreme,supreme
Consciousness,consciousness
.,.
Do,do
n't,not
worry,worry
if,if
you,you
have,have
trouble,trouble
concentrating,concentrate
on,on
the,the
mantra,mantra
and,and
ideation,ideation
-,-
that,that
's,be
normal,normal
.,.
It,it
takes,take
some,some
time,time
and,and
practice,practice
to,to
be,be
able,able
to,to
focus,focus
on,on
the,the
one,one
thought,thought
.,.
The,the
main,main
thing,thing
is,be
to,to
keep,keep
practicing,practice
.,.
If,if
you,you
do,do
n't,not
practice,practice
",",","
then,then
nothing,nothing
happens,happen
.,.
Well,well
maybe,maybe
a,a
miracle,miracle
could,could
happen,happen
",",","
but,but
let,let
s,s
face,face
it,it
we,we
're,be
ordinary,ordinary
people,people
and,and
so,so
require,require
practical,practical
day,day
to,to
day,day
techniques,technique
!,!
---,---
NORTH,NORTH
CAROLINA,CAROLINA
RELIGIOUS,RELIGIOUS
COALITION,COALITION
FOR,for
MARRIAGE,MARRIAGE
EQUALITY,EQUALITY
From,from
what,what
we,we
hear,hear
from,from
the,the
news,news
media,media
",",","
one,one
could,could
easily,easily
conclude,conclude
that,that
all,all
Christians,Christians
are,be
opposed,opposed
to,to
gay,gay
marriage,marriage
.,.
But,but
that,that
’s,be
not,not
the,the
case,case
.,.
Last,last
year,year
an,a
organization,organization
named,name
the,the
North,North
Carolina,Carolina
Religious,Religious
Coalition,Coalition
for,for
Marriage,Marriage
Equality,Equality
was,be
formed,form
to,to
get,get
out,out
the,the
message,message
that,that
at,at
least,least
some,some
people,people
of,of
faith,faith
are,be
not,not
opposed,opposed
to,to
extending,extend
the,the
rights,rights
and,and
responsibilities,responsibility
of,of
civil,civil
marriage,marriage
to,to
same,same
-,-
gender,gender
couples,couple
.,.
One,one
of,of
“,"	PUNCT	``	_	4	punct	4:punct	SpaceAfter=No
4	NCRC4ME	NCRC4ME	PROPN	NNP	Number=Sing	8	compound	8:compound	SpaceAfter=No
5	’s	's	PART	POS	_	4	case	4:case	SpaceAfter=No
6	”	"
major,major
efforts,effort
is,be
to,to
collect,collect
signatures,signature
for,for
the,the
attached,attach
“,"	PUNCT	``	_	17	punct	17:punct	SpaceAfter=No
17	Declaration	declaration	NOUN	NN	Number=Sing	11	obl	11:obl	_
18	of	of	ADP	IN	_	20	case	20:case	_
19	Religious	religious	ADJ	JJ	Degree=Pos	20	amod	20:amod	_
20	Leaders	leader	NOUN	NNS	Number=Plur	17	nmod	17:nmod	SpaceAfter=No
21	,	,	PUNCT	,	_	17	punct	17:punct	SpaceAfter=No
22	”	"
which,which
has,have
been,be
and,and
will,will
again,again
be,be
presented,present
to,to
members,member
of,of
the,the
NC,NC
legislature,legislature
.,.
It,it
presents,present
the,the
case,case
for,for
marriage,marriage
equality,equality
and,and
states,state
",",","
“,"	PUNCT	``	_	9	punct	9:punct	SpaceAfter=No
12	We	we	PRON	PRP	Case=Nom|Number=Plur|Person=1|PronType=Prs	14	nsubj:pass	14:nsubj:pass	_
13	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin	14	aux:pass	14:aux:pass	_
14	resolved	resolve	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	9	ccomp	9:ccomp	_
15	that	that	SCONJ	IN	_	20	mark	20:mark	_
16	the	the	DET	DT	Definite=Def|PronType=Art	17	det	17:det	_
17	State	State	PROPN	NNP	Number=Sing	20	nsubj	20:nsubj	_
18	should	should	AUX	MD	VerbForm=Fin	20	aux	20:aux	_
19	not	not	PART	RB	_	20	advmod	20:advmod	_
20	interfere	interfere	VERB	VB	VerbForm=Inf	14	ccomp	14:ccomp	_
21	with	with	ADP	IN	_	25	case	25:case	_
22	same	same	ADJ	JJ	Degree=Pos	24	amod	24:amod	SpaceAfter=No
23	-	-	PUNCT	HYPH	_	24	punct	24:punct	SpaceAfter=No
24	gender	gender	NOUN	NN	Number=Sing	25	compound	25:compound	_
25	couples	couple	NOUN	NNS	Number=Plur	20	obl	20:obl	_
26	who	who	PRON	WP	PronType=Rel	27	nsubj	27:nsubj	_
27	choose	choose	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin	25	acl:relcl	25:acl:relcl	_
28	to	to	PART	TO	_	29	mark	29:mark	_
29	marry	marry	VERB	VB	VerbForm=Inf	27	xcomp	27:xcomp	_
30	and	and	CCONJ	CC	_	31	cc	31:cc	_
31	share	share	VERB	VB	VerbForm=Inf	29	conj	29:conj	_
32	fully	fully	ADV	RB	_	31	advmod	31:advmod	_
33	and	and	CCONJ	CC	_	34	cc	34:cc	_
34	equally	equally	ADV	RB	_	32	conj	32:conj	_
35	in	in	ADP	IN	_	37	case	37:case	_
36	the	the	DET	DT	Definite=Def|PronType=Art	37	det	37:det	_
37	rights	rights	NOUN	NNS	Number=Plur	31	obl	31:obl	SpaceAfter=No
38	,	,	PUNCT	,	_	39	punct	39:punct	_
39	responsibilities	responsibility	NOUN	NNS	Number=Plur	37	conj	37:conj	SpaceAfter=No
40	,	,	PUNCT	,	_	42	punct	42:punct	_
41	and	and	CCONJ	CC	_	42	cc	42:cc	_
42	commitments	commitment	NOUN	NNS	Number=Plur	37	conj	37:conj	_
43	of	of	ADP	IN	_	45	case	45:case	_
44	civil	civil	ADJ	JJ	Degree=Pos	45	amod	45:amod	_
45	marriage	marriage	NOUN	NN	Number=Sing	37	nmod	37:nmod	SpaceAfter=No
46	.	.	PUNCT	.	_	2	punct	2:punct	SpaceAfter=No
47	”	"
A,a
measure,measure
to,to
amend,amend
the,the
NC,NC
Constitution,constitution
to,to
ban,ban
gay,gay
marriage,marriage
was,be
defeated,defeat
last,last
year,year
but,but
already,already
has,have
been,be
reintroduced,reintroduce
in,in
the,the
2005,2005
legislative,legislative
session,session
",",","
so,so
there,there
is,be
a,a
real,real
need,need
for,for
visible,visible
support,support
for,for
the,the
“,"	PUNCT	``	_	43	punct	43:punct	SpaceAfter=No
39	pro-same	pro-same	ADJ	JJ	Degree=Pos	41	compound	41:compound	SpaceAfter=No
40	-	-	PUNCT	HYPH	_	41	punct	41:punct	SpaceAfter=No
41	gender	gender	NOUN	NN	Number=Sing	43	compound	43:compound	SpaceAfter=No
42	-	-	PUNCT	HYPH	_	43	punct	43:punct	SpaceAfter=No
43	marriage	marriage	NOUN	NN	Number=Sing	45	acl	45:acl	SpaceAfter=No
44	”	"
side,side
of,of
this,this
issue,issue
.,.
At,at
its,its
February,February
meeting,meeting
the,the
CHS,CHS
Vestry,Vestry
voted,vote
unanimously,unanimously
to,to
add,add
their,they
names,name
to,to
the,the
Declaration,declaration
.,.
Our,we
Rector,rector
Barbara,Barbara
and,and
our,we
Deacon,deacon
Clare,Clare
also,also
have,have
signed,sign
the,the
Declaration,declaration
.,.
Furthermore,furthermore
",",","
the,the
Vestry,Vestry
voted,vote
unanimously,unanimously
to,to
invite,invite
the,the
support,support
of,of
members,member
of,of
the,the
CHS,CHS
congregation,congregation
for,for
the,the
Declaration,declaration
.,.
(,(
Since,since
the,the
Declaration,declaration
is,be
written,write
as,as
coming,come
from,from
“,"	PUNCT	``	_	12	punct	12:punct	SpaceAfter=No
11	religious	religious	ADJ	JJ	Degree=Pos	12	amod	12:amod	_
12	leaders	leader	NOUN	NNS	Number=Plur	8	obl	8:obl	SpaceAfter=No
13	,	,	PUNCT	,	_	26	punct	26:punct	SpaceAfter=No
14	”	"
people,people
who,who
do,do
n’t,not
consider,consider
themselves,themselves
“,"	PUNCT	``	_	23	punct	23:punct	SpaceAfter=No
22	religious	religious	ADJ	JJ	Degree=Pos	23	amod	23:amod	_
23	leaders	leader	NOUN	NNS	Number=Plur	19	xcomp	19:xcomp	SpaceAfter=No
24	”	"
can,can
sign,sign
as,as
“,"	PUNCT	``	_	29	punct	29:punct	SpaceAfter=No
29	Supporters	supporter	NOUN	NNS	Number=Plur	26	obl	26:obl	_
30	of	of	ADP	IN	_	35	case	35:case	_
31	the	the	DET	DT	Definite=Def|PronType=Art	35	det	35:det	_
32	North	North	PROPN	NNP	Number=Sing	33	compound	33:compound	_
33	Carolina	Carolina	PROPN	NNP	Number=Sing	35	compound	35:compound	_
34	Religious	Religious	PROPN	NNP	Number=Sing	35	compound	35:compound	_
35	Coalition	Coalition	PROPN	NNP	Number=Sing	29	nmod	29:nmod	_
36	for	for	ADP	IN	_	38	case	38:case	_
37	Marriage	Marriage	PROPN	NNP	Number=Sing	38	compound	38:compound	_
38	Equality	Equality	PROPN	NNP	Number=Sing	35	nmod	35:nmod	SpaceAfter=No
39	.	.	PUNCT	.	_	26	punct	26:punct	SpaceAfter=No
40	”	"
),)
Please,please
note,note
that,that
the,the
Declaration,declaration
addresses,address
only,only
civil,civil
marriage,marriage
;,;
it,it
says,say
nothing,nothing
about,about
religious,religious
beliefs,belief
or,or
practices,practice
regarding,regard
marriage,marriage
.,.
If,if
you,you
have,have
any,any
questions,question
please,please
feel,feel
free,free
to,to
call,call
me,I
(,(
after,after
Sat.,Sat.
the,the
26th,26th
",",","
when,when
I,I
will,will
return,return
from,from
a,a
trip,trip
),)
.,.
Sign,sign
-,-
up,up
lists,list
will,will
be,be
available,available
at,at
the,the
services,service
on,on
Feb.,Feb.
27,27
and,and
March,March
6,6
",",","
or,or
you,you
can,can
email,email
me,I
.,.
I,I
will,will
email,email
names,name
and,and
email,email
addresses,address
(,(
or,or
postal,postal
addresses,address
),)
of,of
signers,signer
to,to
NCRC4ME,NCRC4ME
in,in
time,time
for,for
their,they
“,"	PUNCT	``	_	23	punct	23:punct	SpaceAfter=No
22	lobby	lobby	NOUN	NN	Number=Sing	23	compound	23:compound	_
23	day	day	NOUN	NN	Number=Sing	18	nmod	18:nmod	SpaceAfter=No
24	”	"
in,in
Raleigh,Raleigh
on,on
March,March
15,15
.,.
Thank,thank
you,you
for,for
your,you
consideration,consideration
of,of
this,this
issue,issue
.,.
For,for
the,the
Church,Church
of,of
the,the
Holy,Holy
Spirit,Spirit
Vestry,Vestry
",",","
Dudley,Dudley
Cate,Cate
828-296-8466,828-296-8466
jodud...@aol.com,jodud...@aol.com
---------------------------,---------------------------
North,North
Carolina,Carolina
Religious,Religious
Coalition,Coalition
for,for
Marriage,Marriage
Equality,Equality
Declaration,declaration
of,of
Religious,religious
Leaders,leader
April,April
19,19
",",","
2004,2004
The,the
most,most
fundamental,fundamental
human,human
right,right
",",","
after,after
the,the
necessities,necessity
of,of
food,food
",",","
clothing,clothing
and,and
shelter,shelter
",",","
is,be
the,the
right,right
to,to
affection,affection
and,and
the,the
supportive,supportive
love,love
of,of
other,other
human,human
beings,being
.,.
We,we
become,become
most,most
fully,fully
human,human
when,when
we,we
love,love
another,another
person,person
.,.
We,we
can,can
grow,grow
in,in
our,we
capacity,capacity
to,to
be,be
human,human
-,-
to,to
be,be
loving,loving
-,-
in,in
a,a
family,family
unit,unit
.,.
This,this
right,right
to,to
love,love
and,and
form,form
a,a
family,family
is,be
so,so
fundamental,fundamental
that,that
our,we
United,United
States,States
Constitution,Constitution
takes,take
it,it
for,for
granted,grant
in,in
its,its
dedication,dedication
to,to
	,PUNCT
secure,secure
the,the
blessings,blessing
of,of
liberty,liberty
to,to
ourselves,ourselves
and,and
our,we
posterity,posterity
.,.
”,"	PUNCT	''	_	11	punct	11:punct	_

# sent_id = newsgroup-groups.google.com_GayMarriage_0ccbb50b41a5830b_ENG_20050321_181500-0025
# text = The North Carolina Constitution likewise affirms the “inalienable rights” of human beings to life, liberty, the enjoyment of the fruits of their own labor, and the pursuit of happiness."""
The,the
North,North
Carolina,Carolina
Constitution,Constitution
likewise,likewise
affirms,affirm
the,the
“,"	PUNCT	``	_	10	punct	10:punct	SpaceAfter=No
9	inalienable	inalienable	ADJ	JJ	Degree=Pos	10	amod	10:amod	_
10	rights	rights	NOUN	NNS	Number=Plur	6	obj	6:obj	SpaceAfter=No
11	”	"
of,of
human,human
beings,being
to,to
	,PUNCT
life,life
",",","
liberty,liberty
",",","
the,the
enjoyment,enjoyment
of,of
the,the
fruits,fruit
of,of
their,they
own,own
labor,labor
",",","
and,and
the,the
pursuit,pursuit
of,of
happiness,happiness
.,.
	,PUNCT
Throughout,throughout
history,history
",",","
tyrants,tyrant
have,have
known,know
that,that
by,by
denying,deny
the,the
right,right
of,of
oppressed,oppress
peoples,people
to,to
form,form
and,and
nurture,nurture
families,family
",",","
they,they
can,can
kill,kill
the,the
spirit,spirit
of,of
those,those
peoples,people
.,.
>,>
From,from
the,the
shameful,shameful
history,history
of,of
slavery,slavery
in,in
America,America
",",","
the,the
injustice,injustice
of,of
forbidding,forbid
people,people
to,to
marry,marry
is,be
evident,evident
as,as
a,a
denial,denial
of,of
a,a
basic,basic
human,human
right,right
.,.
The,the
American,american
laws,law
forbidding,forbid
interracial,interracial
marriage,marriage
",",","
now,now
struck,strike
down,down
",",","
were,be
clearly,clearly
discriminatory,discriminatory
.,.
Denial,denial
of,of
the,the
status,status
of,of
marriage,marriage
to,to
those,those
who,who
would,would
freely,freely
accept,accept
its,its
responsibilities,responsibility
creates,create
legal,legal
and,and
economic,economic
inequities,inequity
and,and
social,social
injustice,injustice
.,.
We,we
feel,feel
called,call
to,to
protest,protest
and,and
oppose,oppose
this,this
injustice,injustice
.,.
As,as
religious,religious
people,people
",",","
clergy,clergy
and,and
lay,lay
leaders,leader
",",","
we,we
are,be
mandated,mandate
by,by
faith,faith
to,to
stand,stand
for,for
justice,justice
in,in
our,we
common,common
civic,civic
life,life
.,.
We,we
oppose,oppose
the,the
use,use
of,of
sacred,sacred
texts,text
and,and
religious,religious
traditions,tradition
to,to
deny,deny
legal,legal
equity,equity
to,to
same,same
-,-
gender,gender
couples,couple
.,.
As,as
concerned,concerned
citizens,citizen
we,we
affirm,affirm
the,the
liberty,liberty
of,of
adults,adult
of,of
the,the
same,same
gender,gender
to,to
love,love
and,and
marry,marry
.,.
We,we
insist,insist
that,that
no,no
one,one
",",","
especially,especially
the,the
state,state
",",","
is,be
allowed,allow
to,to
coerce,coerce
people,people
into,into
marriage,marriage
or,or
bar,bar
two,two
consenting,consent
adults,adult
",",","
whether,whether
of,of
the,the
same,same
or,or
differing,differ
genders,gender
",",","
from,from
forming,form
the,the
family,family
unit,unit
that,that
lets,let
them,they
be,be
more,more
fully,fully
loving,loving
",",","
thus,thus
more,more
fully,fully
human,human
.,.
We,we
respect,respect
the,the
fact,fact
that,that
debate,debate
and,and
discussion,discussion
continue,continue
in,in
many,many
of,of
our,we
religious,religious
communities,community
as,as
to,to
the,the
scriptural,scriptural
",",","
theological,theological
and,and
liturgical,liturgical
issues,issue
involved,involve
.,.
However,however
",",","
we,we
draw,draw
on,on
our,we
many,many
faith,faith
traditions,tradition
to,to
arrive,arrive
at,at
a,a
common,common
conviction,conviction
.,.
We,we
are,be
resolved,resolve
that,that
the,the
State,state
should,should
not,not
interfere,interfere
with,with
same,same
-,-
gender,gender
couples,couple
who,who
choose,choose
to,to
marry,marry
and,and
share,share
fully,fully
and,and
equally,equally
in,in
the,the
rights,rights
",",","
responsibilities,responsibility
",",","
and,and
commitments,commitment
of,of
civil,civil
marriage,marriage
.,.
We,we
affirm,affirm
freedom,freedom
of,of
conscience,conscience
in,in
this,this
matter,matter
.,.
We,we
recognize,recognize
that,that
the,the
state,state
may,may
not,not
require,require
religious,religious
groups,group
to,to
officiate,officiate
at,at
",",","
or,or
bless,bless
",",","
same,same
-,-
gender,gender
marriages,marriage
.,.
Likewise,likewise
",",","
a,a
denial,denial
of,of
state,state
civil,civil
recognition,recognition
dishonors,dishonor
the,the
religious,religious
convictions,conviction
of,of
those,those
communities,community
and,and
clergy,clergy
who,who
officiate,officiate
at,at
",",","
and,and
bless,bless
",",","
same,same
-,-
gender,gender
marriages,marriage
.,.
The,the
state,state
may,may
not,not
favor,favor
the,the
convictions,conviction
of,of
one,one
religious,religious
group,group
over,over
another,another
by,by
denying,deny
individuals,individual
their,they
fundamental,fundamental
right,right
to,to
marry,marry
and,and
to,to
have,have
those,those
marriages,marriage
recognized,recognize
by,by
civil,civil
law,law
.,.
As,as
faith,faith
leaders,leader
",",","
we,we
commit,commit
ourselves,ourselves
to,to
public,public
action,action
",",","
visibility,visibility
",",","
education,education
",",","
and,and
mutual,mutual
support,support
in,in
the,the
service,service
of,of
the,the
right,right
and,and
freedom,freedom
to,to
marry,marry
.,.
--,--
Tom,Tom
Dempsey,Dempsey
Gulf,Gulf
Breeze,Breeze
",",","
FL,FL
850-748-0740,850-748-0740
Email,email
:,:
Bill,Bill
McGinnis,McGinnis
<,<
bmc...@patriot.net,bmc...@patriot.net
>,>
The,the
One,one
Reason,reason
Why,why
All,all
Americans,Americans
Should,should
Oppose,oppose
The,the
Nomination,nomination
Of,of
Samuel,Samuel
Alito,Alito
He,he
Would,would
Tear,tear
Down,down
Our,we
System,system
Of,of
Checks,check
And,and
Balances,balance
",",","
Giving,give
Far,far
Too,too
Much,much
Power,power
To,to
The,the
President,President
My,my
Fellow,fellow
Americans,Americans
:,:
As,as
many,many
of,of
you,you
may,may
have,have
heard,hear
",",","
President,President
Bush,Bush
has,have
nominated,nominate
a,a
long,long
-,-
time,time
Federal,federal
Judge,judge
named,name
Samuel,Samuel
Alito,Alito
to,to
become,become
the,the
next,next
member,member
of,of
the,the
United,United
States,States
Supreme,Supreme
Court,Court
",",","
to,to
fill,fill
a,a
vacancy,vacancy
created,create
by,by
the,the
retirement,retirement
of,of
another,another
member,member
of,of
the,the
Court,court
.,.
Under,under
our,we
Constitution,constitution
",",","
this,this
nomination,nomination
can,can
not,not
take,take
effect,effect
unless,unless
and,and
until,until
the,the
United,United
States,States
Senate,Senate
gives,give
its,its
Consent,consent
",",","
as,as
described,describe
in,in
our,we
Constitution,constitution
",",","
Article,article
II,ii
",",","
Section,section
2,2
.,.
A,a
copy,copy
of,of
the,the
Constitution,constitution
",",","
with,with
links,link
back,back
to,to
the,the
official,official
source,source
",",","
is,be
located,locate
at,at
http://loveallpeople.org/usconstitutiona.txt,http://loveallpeople.org/usconstitutiona.txt
Judge,judge
Samuel,Samuel
Alito,Alito
is,be
very,very
highly,highly
qualified,qualified
by,by
all,all
of,of
the,the
normal,normal
standards,standard
used,use
to,to
evaluate,evaluate
candidates,candidate
for,for
this,this
position,position
:,:
He,he
has,have
a,a
very,very
high,high
intellect,intellect
.,.
He,he
graduated,graduate
very,very
high,high
in,in
his,he
class,class
",",","
from,from
Princeton,Princeton
undergraduate,undergraduate
and,and
from,from
Law,law
School,school
at,at
Yale,Yale
.,.
He,he
has,have
a,a
long,long
and,and
distinguished,distinguished
record,record
",",","
including,include
many,many
years,year
as,as
a,a
Federal,federal
Appeals,appeal
Judge,judge
",",","
the,the
next,next
level,level
below,below
Supreme,Supreme
Court,Court
.,.
He,he
has,have
encyclopedic,encyclopedic
knowledge,knowledge
of,of
hundreds,hundred
of,of
different,different
Supreme,Supreme
Court,Court
cases,case
",",","
and,and
he,he
can,can
recite,recite
details,detail
from,from
memory,memory
.,.
He,he
demonstrates,demonstrate
an,a
excellent,excellent
	,PUNCT
Judicial,judicial
Temperament,temperament
",",","
	,PUNCT
being,be
courteous,courteous
",",","
mild,mild
-,-
mannered,mannered
",",","
respectful,respectful
of,of
all,all
people,people
;,;
careful,careful
in,in
his,he
work,work
",",","
meticulous,meticulous
in,in
detail,detail
.,.
His,he
co-workers,co-worker
love,love
him,he
.,.
His,he
fellow,fellow
judges,judge
love,love
him,he
.,.
His,he
family,family
loves,love
him,he
.,.
President,President
Bush,Bush
loves,love
him,he
.,.
Yes,yes
",",","
it,it
is,be
true,true
that,that
some,some
people,people
do,do
n't,not
like,like
the,the
way,way
they,they
think,think
he,he
will,will
vote,vote
on,on
the,the
Supreme,Supreme
Court,Court
.,.
But,but
other,other
people,people
do,do
like,like
the,the
way,way
they,they
think,think
he,he
will,will
vote,vote
",",","
and,and
the,the
ones,one
who,who
favor,favor
him,he
seem,seem
to,to
outnumber,outnumber
the,the
ones,one
who,who
oppose,oppose
him,he
.,.
So,so
now,now
the,the
Senate,Senate
is,be
getting,get
ready,ready
to,to
vote,vote
soon,soon
",",","
on,on
whether,whether
to,to
approve,approve
him,he
or,or
not,not
;,;
and,and
at,at
this,this
moment,moment
(,(
evening,evening
of,of
Jan.,Jan.
27,27
",",","
2006,2006
),)
it,it
looks,look
like,like
he,he
has,have
more,more
than,than
the,the
fifty,fifty
-,-
one,one
votes,vote
needed,need
for,for
approval,approval
.,.
The,the
President,President
is,be
very,very
eager,eager
to,to
go,go
ahead,ahead
quickly,quickly
and,and
get,get
this,this
vote,vote
",",","
because,because
he,he
very,very
much,much
wants,want
to,to
have,have
Samuel,Samuel
Alito,Alito
on,on
the,the
Supreme,Supreme
Court,Court
",",","
to,to
be,be
judging,judge
the,the
cases,case
Bush,Bush
is,be
interested,interested
in,in
.,.
So,so
there,there
is,be
a,a
lot,lot
of,of
hurry,hurry
-,-
up,up
pressure,pressure
on,on
the,the
Senate,Senate
to,to
give,give
its,its
prompt,prompt
vote,vote
of,of
approval,approval
.,.
There,there
is,be
an,a
old,old
saying,saying
that,that
applies,apply
in,in
this,this
situation,situation
:,:
	,PUNCT
Act,act
in,in
haste,haste
",",","
repent,repent
at,at
leisure,leisure
.,.
	,PUNCT
Sometimes,sometimes
you,you
can,can
make,make
a,a
bad,bad
decision,decision
very,very
quickly,quickly
",",","
then,then
regret,regret
it,it
for,for
many,many
years,year
to,to
come,come
.,.
That,that
is,be
what,what
is,be
about,about
to,to
happen,happen
with,with
Judge,judge
Samuel,Samuel
Alito,Alito
",",","
in,in
my,my
opinion,opinion
",",","
because,because
he,he
has,have
one,one
tragic,tragic
flaw,flaw
-,-
a,a
very,very
serious,serious
blind,blind
spot,spot
in,in
his,he
thinking,thinking
-,-
which,which
makes,make
him,he
completely,completely
unacceptable,unacceptable
for,for
the,the
position,position
of,of
Supreme,Supreme
Court,Court
Justice,justice
:,:
He,he
does,do
not,not
really,really
agree,agree
with,with
the,the
system,system
of,of
	,PUNCT
Checks,check
and,and
Balances,balance
	,PUNCT
built,build
into,into
the,the
Constitution,constitution
",",","
and,and
he,he
is,be
ready,ready
to,to
start,start
tearing,tear
it,it
down,down
in,in
order,order
to,to
follow,follow
the,the
	,PUNCT
Unitary,Unitary
Executive,Executive
Theory,Theory
",",","
	,PUNCT
which,which
calls,call
for,for
vastly,vastly
-,-
increased,increase
Presidential,presidential
Power,power
at,at
the,the
expense,expense
of,of
Congress,Congress
and,and
the,the
Supreme,Supreme
Court,Court
.,.
And,and
because,because
of,of
this,this
tragic,tragic
flaw,flaw
.,.
.,.
.,.
	,PUNCT
He,he
Would,would
Tear,tear
Down,down
Our,we
System,system
Of,of
Checks,check
And,and
Balances,balance
",",","
Giving,give
Far,far
Too,too
Much,much
Power,power
To,to
The,the
President,President
.,.
	,PUNCT
In,in
our,we
Constitutional,constitutional
system,system
",",","
we,we
have,have
three,three
branches,branch
of,of
the,the
Federal,Federal
Government,Government
:,:
the,the
Legislative,legislative
",",","
Executive,executive
",",","
and,and
Judicial,judicial
branches,branch
.,.
And,and
the,the
basic,basic
idea,idea
behind,behind
the,the
Checks,check
and,and
Balances,balance
we,we
have,have
is,be
that,that
if,if
one,one
branch,branch
of,of
the,the
Government,government
goes,go
crazy,crazy
",",","
the,the
other,other
two,two
can,can
hold,hold
it,it
down,down
.,.
But,but
Samuel,Samuel
Alito,Alito
believes,believe
in,in
a,a
little,little
-,-
known,know
Constitutional,constitutional
theory,theory
-,-
called,call
the,the
	,PUNCT
Unitary,Unitary
Executive,Executive
Theory,Theory
	,PUNCT
-,-
which,which
says,say
that,that
the,the
President,President
should,should
have,have
complete,complete
control,control
over,over
the,the
Executive,executive
Branch,branch
",",","
and,and
that,that
the,the
Executive,executive
Branch,branch
should,should
be,be
in,in
charge,charge
of,of
almost,almost
everything,everything
that,that
the,the
Government,government
actually,actually
does,do
",",","
including,include
the,the
functions,function
of,of
the,the
Independent,independent
Agencies,agency
which,which
were,be
designed,design
to,to
be,be
free,free
of,of
Presidential,presidential
control,control
",",","
and,and
the,the
Military,military
",",","
which,which
exists,exist
",",","
which,which
is,be
regulated,regulate
",",","
and,and
which,which
is,be
funded,fund
by,by
specific,specific
authority,authority
given,give
by,by
the,the
Constitution,constitution
to,to
Congress,Congress
",",","
not,not
to,to
the,the
President,President
.,.
The,the
Military,military
is,be
not,not
part,part
